Symbol,FiscalYearEnd,sales,net_profit,eps,equity_capital,reserves,borrowings,roce_pct,roe_pct,debt_to_equity
HCLTECH,Mar 2020,70676.0,11057.0,40.75,543.0,50724.0,7986.0,27.0,21.57,0.156
HCLTECH,Mar 2021,75379.0,11169.0,41.07,543.0,59370.0,6864.0,26.0,18.64,0.115
HCLTECH,Mar 2022,85651.0,13523.0,49.74,543.0,61371.0,6343.0,25.0,21.84,0.102
HCLTECH,Mar 2023,101456.0,14845.0,54.73,543.0,64862.0,4794.0,28.0,22.7,0.073
HCLTECH,Mar 2024,109913.0,15710.0,57.86,543.0,67720.0,5756.0,30.0,23.01,0.084
HCLTECH,Mar 2025,117055.0,17399.0,64.08,543.0,69112.0,6276.0,32.0,24.98,0.09
HCLTECH,Mar 2026,130144.0,16652.0,61.33,543.0,74622.0,5215.0,30.0,22.15,0.069
HDFC,Mar 2012,30276.0,5670.0,36.98,295.0,23921.0,142479.0,12.0,23.41,5.884
HDFC,Mar 2013,35948.0,6982.0,42.94,309.0,31581.0,163663.0,12.0,21.89,5.132
HDFC,Mar 2014,40753.0,8403.0,50.93,312.0,37263.0,190602.0,12.0,22.36,5.073
HDFC,Mar 2015,48316.0,9245.0,55.65,315.0,44757.0,217357.0,12.0,20.51,4.822
HDFC,Mar 2016,53223.0,10718.0,64.5,316.0,50585.0,249418.0,11.0,21.06,4.9
HDFC,Mar 2017,61034.0,11848.0,69.56,318.0,59742.0,293795.0,10.0,19.73,4.892
HDFC,Mar 2018,79474.0,13111.0,71.48,335.0,91538.0,336416.0,10.0,14.27,3.662
HDFC,Mar 2019,95694.0,17581.0,94.29,344.0,111389.0,386755.0,11.0,15.73,3.461
HDFC,Mar 2020,101726.0,22826.0,123.75,346.0,126133.0,425368.0,11.0,18.05,3.363
HDFC,Mar 2021,139034.0,20488.0,103.89,361.0,156352.0,447011.0,9.0,13.07,2.852
HDFC,Mar 2022,135926.0,24042.0,124.63,363.0,179491.0,507460.0,8.0,13.37,2.822
HDFC,Mar 2023,152940.0,27700.0,142.6,367.0,201108.0,582265.0,9.0,13.75,2.89
HDFCBANK,Mar 2015,,10703.0,10.66,501.0,62653.0,,,16.95,
HDFCBANK,Mar 2016,,12821.0,12.66,506.0,73798.0,,,17.25,
HDFCBANK,Mar 2017,,15317.0,14.91,513.0,91281.0,,,16.69,
HDFCBANK,Mar 2018,,18561.0,17.83,519.0,109080.0,,,16.94,
HDFCBANK,Mar 2019,,22446.0,20.5,545.0,153128.0,,,14.61,
HDFCBANK,Mar 2020,,27296.0,24.85,548.0,175810.0,,,15.48,
HDFCBANK,Mar 2021,,31857.0,28.87,551.0,209259.0,,,15.18,
HDFCBANK,Mar 2022,,38151.0,34.31,555.0,246772.0,,,15.43,
HDFCBANK,Mar 2023,,46149.0,41.22,558.0,288880.0,,,15.94,
HDFCBANK,Mar 2024,,65446.0,42.16,760.0,455636.0,,,14.34,
HDFCBANK,Mar 2025,,73440.0,46.26,765.0,521024.0,,,14.07,
HDFCBANK,Mar 2026,,79219.0,49.39,1539.0,584520.0,,,13.52,
HEROMOTOCO,Mar 2015,27538.0,2364.0,118.42,40.0,6500.0,100.0,50.0,36.15,0.015
HEROMOTOCO,Mar 2016,28457.0,3112.0,157.34,40.0,8794.0,232.0,54.0,35.23,0.026
HEROMOTOCO,Mar 2017,28610.0,3546.0,179.49,40.0,10276.0,261.0,48.0,34.37,0.025
HEROMOTOCO,Mar 2018,32458.0,3722.0,186.29,40.0,11932.0,228.0,45.0,31.09,0.019
HEROMOTOCO,Mar 2019,33971.0,3466.0,172.44,40.0,13080.0,312.0,39.0,26.42,0.024
HEROMOTOCO,Mar 2020,29254.0,3659.0,182.14,40.0,14366.0,453.0,27.0,25.4,0.031
HEROMOTOCO,Mar 2021,30959.0,2936.0,146.05,40.0,15376.0,584.0,24.0,19.05,0.038
HEROMOTOCO,Mar 2022,29551.0,2329.0,115.95,40.0,15807.0,605.0,18.0,14.7,0.038
HEROMOTOCO,Mar 2023,34158.0,2800.0,140.61,40.0,16616.0,568.0,23.0,16.81,0.034
HEROMOTOCO,Mar 2024,37789.0,3742.0,187.31,40.0,17659.0,606.0,29.0,21.14,0.034
HEROMOTOCO,Mar 2025,40923.0,4376.0,218.91,40.0,19232.0,700.0,30.0,22.71,0.036
HEROMOTOCO,Mar 2026,47411.0,5776.0,286.96,40.0,21571.0,779.0,35.0,26.73,0.036
HINDALCO,Mar 2015,104281.0,259.0,4.14,207.0,38122.0,68468.0,6.0,0.68,1.786
HINDALCO,Mar 2016,98759.0,-702.0,-1.21,207.0,40402.0,67552.0,4.0,-1.73,1.663
HINDALCO,Mar 2017,100184.0,1882.0,8.47,223.0,45836.0,63817.0,8.0,4.09,1.386
HINDALCO,Mar 2018,115183.0,6083.0,27.1,223.0,54629.0,52074.0,10.0,11.09,0.949
HINDALCO,Mar 2019,130542.0,5495.0,24.48,222.0,57279.0,52415.0,11.0,9.56,0.912
HINDALCO,Mar 2020,118144.0,3767.0,16.77,222.0,58095.0,68399.0,9.0,6.46,1.173
HINDALCO,Mar 2021,132008.0,3483.0,15.5,222.0,66311.0,67206.0,9.0,5.23,1.01
HINDALCO,Mar 2022,195059.0,13730.0,61.1,222.0,77969.0,64486.0,17.0,17.56,0.825
HINDALCO,Mar 2023,223202.0,10097.0,44.93,222.0,94584.0,60291.0,11.0,10.65,0.636
HINDALCO,Mar 2024,215962.0,10155.0,45.19,222.0,105924.0,56356.0,11.0,9.57,0.531
HINDALCO,Mar 2025,238496.0,16002.0,71.2,222.0,123487.0,65642.0,15.0,12.94,0.531
HINDALCO,Mar 2026,274944.0,13391.0,59.59,222.0,136361.0,99165.0,13.0,9.8,0.726
HINDUNILVR,Mar 2015,31972.0,4376.0,20.17,216.0,3811.0,43.0,139.0,108.67,0.011
HINDUNILVR,Mar 2016,32186.0,4151.0,19.18,216.0,6357.0,177.0,112.0,63.15,0.027
HINDUNILVR,Mar 2017,33162.0,4490.0,20.68,216.0,6528.0,277.0,91.0,66.58,0.041
HINDUNILVR,Mar 2018,35545.0,5227.0,24.09,216.0,7065.0,0.0,103.0,71.79,0.0
HINDUNILVR,Mar 2019,39310.0,6060.0,27.97,216.0,7651.0,99.0,116.0,77.03,0.013
HINDUNILVR,Mar 2020,39783.0,6756.0,31.17,216.0,8013.0,0.0,117.0,82.1,0.0
HINDUNILVR,Mar 2021,47028.0,7999.0,34.03,235.0,47439.0,0.0,39.0,16.78,0.0
HINDUNILVR,Mar 2022,52446.0,8892.0,37.79,235.0,48826.0,1043.0,25.0,18.12,0.021
HINDUNILVR,Mar 2023,60580.0,10143.0,43.07,235.0,50069.0,1219.0,27.0,20.16,0.024
HINDUNILVR,Mar 2024,61896.0,10282.0,43.74,235.0,50983.0,1484.0,27.0,20.07,0.029
HINDUNILVR,Mar 2025,61328.0,10671.0,45.32,235.0,49167.0,1648.0,28.0,21.6,0.033
HINDUNILVR,Mar 2026,64468.0,15059.0,64.01,235.0,48504.0,1478.0,28.0,30.9,0.03
ICICIBANK,Mar 2015,,12942.0,19.2,1160.0,83545.0,,,15.28,
ICICIBANK,Mar 2016,,10927.0,15.92,1163.0,92948.0,,,11.61,
ICICIBANK,Mar 2017,,11340.0,15.9,1165.0,103467.0,,,10.84,
ICICIBANK,Mar 2018,,9100.0,12.0,1286.0,109344.0,,,8.23,
ICICIBANK,Mar 2019,,5689.0,6.6,1289.0,112964.0,,,4.98,
ICICIBANK,Mar 2020,,11225.0,14.78,1295.0,121665.0,,,9.13,
ICICIBANK,Mar 2021,,20364.0,26.58,1383.0,156204.0,,,12.92,
ICICIBANK,Mar 2022,,26538.0,36.14,1390.0,180663.0,,,14.58,
ICICIBANK,Mar 2023,,35461.0,48.74,1397.0,213101.0,,,16.53,
ICICIBANK,Mar 2024,,46081.0,63.02,1405.0,254739.0,,,17.99,
ICICIBANK,Mar 2025,,54569.0,71.65,1425.0,312481.0,,,17.38,
ICICIBANK,Mar 2026,,57936.0,75.71,1432.0,361628.0,,,15.96,
INDUSINDBK,Mar 2016,,2287.0,38.43,595.0,17102.0,,,12.92,
INDUSINDBK,Mar 2017,,2868.0,47.95,598.0,20049.0,,,13.89,
INDUSINDBK,Mar 2018,,3606.0,60.08,600.0,23243.0,,,15.12,
INDUSINDBK,Mar 2019,,3301.0,54.77,603.0,26085.0,,,12.37,
INDUSINDBK,Mar 2020,,4458.0,64.28,694.0,34054.0,,,12.83,
INDUSINDBK,Mar 2021,,2930.0,37.89,773.0,42727.0,,,6.74,
INDUSINDBK,Mar 2022,,4805.0,62.03,775.0,47252.0,,,10.0,
INDUSINDBK,Mar 2023,,7444.0,95.93,776.0,54229.0,,,13.53,
INDUSINDBK,Mar 2024,,8977.0,115.34,778.0,62429.0,,,14.2,
INDUSINDBK,Mar 2025,,2576.0,33.06,779.0,64057.0,,,3.97,
INDUSINDBK,Mar 2026,,889.0,11.41,779.0,64961.0,,,1.35,
INFY,Mar 2015,53319.0,12372.0,26.93,572.0,50164.0,0.0,36.0,24.39,0.0
INFY,Mar 2016,62441.0,13489.0,29.36,1144.0,60600.0,0.0,33.0,21.85,0.0
INFY,Mar 2017,68484.0,14353.0,31.24,1144.0,67838.0,0.0,30.0,20.81,0.0
INFY,Mar 2018,70522.0,16029.0,36.69,1088.0,63835.0,0.0,30.0,24.69,0.0
INFY,Mar 2019,82675.0,15410.0,35.26,2170.0,62778.0,0.0,32.0,23.73,0.0
INFY,Mar 2020,90791.0,16639.0,38.96,2122.0,63328.0,4633.0,32.0,25.42,0.071
INFY,Mar 2021,100472.0,19423.0,45.42,2124.0,74227.0,5325.0,35.0,25.44,0.07
INFY,Mar 2022,121641.0,22146.0,52.56,2098.0,73252.0,5474.0,37.0,29.39,0.073
INFY,Mar 2023,146767.0,24108.0,58.08,2069.0,73338.0,8299.0,40.0,31.97,0.11
INFY,Mar 2024,153670.0,26248.0,63.2,2071.0,86045.0,8359.0,40.0,29.79,0.095
INFY,Mar 2025,162990.0,26750.0,64.32,2073.0,93745.0,8227.0,38.0,27.92,0.086
INFY,Mar 2026,178650.0,29474.0,72.59,2024.0,90828.0,9176.0,40.0,31.74,0.099
IOC,Mar 2015,449507.0,4872.0,3.37,2428.0,66404.0,64893.0,6.0,7.08,0.943
IOC,Mar 2016,346045.0,12413.0,8.25,2370.0,87610.0,58552.0,14.0,13.8,0.651
IOC,Mar 2017,355379.0,20385.0,13.63,4739.0,97357.0,63271.0,20.0,19.97,0.62
IOC,Mar 2018,421492.0,22626.0,15.23,9479.0,104395.0,65650.0,22.0,19.87,0.577
IOC,Mar 2019,528158.0,17274.0,12.31,9181.0,103288.0,96765.0,16.0,15.36,0.86
IOC,Mar 2020,483763.0,-1876.0,-0.63,9181.0,86217.0,129790.0,5.0,-1.97,1.361
IOC,Mar 2021,363950.0,21762.0,15.32,9181.0,102657.0,116649.0,15.0,19.46,1.043
IOC,Mar 2022,589336.0,25727.0,17.78,9181.0,124354.0,132020.0,16.0,19.27,0.989
IOC,Mar 2023,841756.0,11704.0,6.93,13772.0,125949.0,148977.0,8.0,8.38,1.066
IOC,Mar 2024,776352.0,43161.0,29.55,13772.0,169645.0,132628.0,21.0,23.53,0.723
IOC,Mar 2025,758106.0,13789.0,9.63,13772.0,172716.0,152271.0,7.0,7.39,0.817
IOC,Mar 2026,784415.0,43677.0,29.81,13772.0,205746.0,131822.0,19.0,19.9,0.601
ITC,Mar 2015,38817.0,9779.0,8.04,802.0,30934.0,269.0,47.0,30.81,0.008
ITC,Mar 2016,39192.0,9501.0,7.74,805.0,41875.0,84.0,40.0,22.26,0.002
ITC,Mar 2017,42768.0,10477.0,8.47,1215.0,45198.0,46.0,36.0,22.57,0.001
ITC,Mar 2018,43449.0,11493.0,9.24,1220.0,51290.0,36.0,34.0,21.89,0.001
ITC,Mar 2019,48340.0,12836.0,10.27,1226.0,57915.0,13.0,34.0,21.7,0.0
ITC,Mar 2020,49388.0,15593.0,12.45,1229.0,64044.0,277.0,32.0,23.89,0.004
ITC,Mar 2021,49257.0,13383.0,10.69,1231.0,59116.0,271.0,28.0,22.18,0.004
ITC,Mar 2022,60645.0,15503.0,12.37,1232.0,61223.0,249.0,33.0,24.82,0.004
ITC,Mar 2023,70919.0,19477.0,15.44,1243.0,67912.0,306.0,39.0,28.16,0.004
ITC,Mar 2024,67932.0,20751.0,16.39,1248.0,73259.0,303.0,36.0,27.85,0.004
ITC,Mar 2025,75323.0,35052.0,27.77,1251.0,68779.0,285.0,37.0,50.05,0.004
ITC,Mar 2026,78868.0,21018.0,16.51,1253.0,71254.0,2399.0,39.0,28.99,0.033
JSWSTEEL,Mar 2015,52972.0,1722.0,7.43,303.0,21987.0,38754.0,10.0,7.73,1.739
JSWSTEEL,Mar 2016,41546.0,-481.0,-1.39,301.0,18665.0,42204.0,5.0,-2.54,2.225
JSWSTEEL,Mar 2017,55604.0,3467.0,14.57,301.0,22346.0,43334.0,14.0,15.31,1.913
JSWSTEEL,Mar 2018,71933.0,6113.0,25.71,302.0,27696.0,39393.0,18.0,21.83,1.407
JSWSTEEL,Mar 2019,84757.0,7524.0,31.6,301.0,34494.0,47396.0,20.0,21.62,1.362
JSWSTEEL,Mar 2020,73326.0,3919.0,16.67,301.0,36298.0,61423.0,9.0,10.71,1.678
